DateID,SceneID,Order,Type,Speaker,Text,Background,CenterAppearanceID,LeftAppearanceID,RightApeearanceID,ChoiceA,NextSceneA,AffectionA,ChoiceB,NextSceneB,AffectionB,MoneyChange,ConditionChange,GradeChange,FriendshipCange,StoryKind,DatingCharacter,DatingLocation,CompleteDate
Date21,1,0,Dialogue,나,(전철 역착 때문에 약속시간에 촉박하게 도착한다.),Dating_pond,,,,,,,,,,,,,,,,,
Date21,1,1,Dialogue,나,"(……헉 저, 저기 벤치에 앉아서 시계를 보고있는 미소녀… 설마 미요코씨 ?! 미쳤다, 오늘 스타일 눈이 부셔서 못쳐다 보겠어!! 완전 여신 그자체 잖아..! 심장이 두근거린다구..!)",,Dating_Miyoko_default,,,,,,,,,,,,,,,,
Date21,1,2,Choice,미요코,"""푸앙쿤, 벌써 지금 23.24 초 나 지체했어. 내 시간은 금보다 귀하다고,  늦은 이유를 자기변호할수 있는 시간을 10초 줄테니 왜 늦었닌 논리적으로 설명해봐"" ",,Dating_Miyoko_angry,,,사실대로 말한다.,10,,거짓말을 한다.,11,,,,,,,,,
Date21,10,0,,나," ""미안해 미요코! 사실 전철이 갑자기 연착되는 바람에 어쩔수가 없었어! 정말 고의가 아니야…!""",,,,,,,,,,,,,,,,,,
Date21,10,1,Dialogue,미요코,"""전철 연착?"" (턱을 괴고 잠시 눈을 감더니 중얼거린다.) ""9호선 전동차의 표준속도는 35kn/h 연착 평균 거리는 1.2km, 오늘 신호장애 구간의 감속운행률을 40%로 잡고 푸앙 쿤의 역 출구에서 여기 벤치까지의 보행속도를 4km/h로 상정하면…""",,Dating_Miyoko_default,,,,,,,,,,,,,,,,
Date21,10,2,Dialogue,나,(어이 설마 머릿속으로 지하철 지연시간을 실시간으로 역산하고 있는거야?!),,,,,,,,,,,,,,,,,,
Date21,10,3,Dialogue,미요코,"(눈을 번쩍 뜨며)"" ……음, 계산 끝났어. 확실히 네가 역에서부터 가속도를 높여서 전력 질주(v≈18 km/h)했다는 조건 하에, 23.24초 지각은 불가항력적인 수치였네."" ""데이터가 증명하니까 참작해 줄게""",,Dating_Miyoko_default,,,,,,,,,,,,,,,,
Date21,10,4,Dialogue,나," (휴우, 과학적이고 수학적인 변론이 통하는 우등생이라 다행이다……!)",,,,,,,,,,,,,,,,,,
Date21,10,5,Dialogue,미요코,"(살짝 볼을 붉히며 스마트워치를 만지작거린다) ""하지만…… 감속 운행이 시작된 시점에 이미 나에게 지연 도달 예상 시간을 메신저로 송신했어야 계산 오차가 안 생기잖아. "" ""기다리는 동안…… 내 심박수가 평소보다 15%나 상승했다고. 책임져""",,Dating_Miyoko_default,,,,,,,,,,,,,,,,
Date21,10,6,Dialogue,나,"(……헉, 화난 게 아니라 기다리느라 두근거렸다는 뜻?! 이 갭 모에, 파괴력 엄청나잖아!!)",,,,,,,,,,,,,,,,,,
